name,price,original_price,status,landing_category,cpu,ram,ssd,gpu,screen_size,resolution,refresh_rate,battery,brand,sku,url
"Laptop Asus ExpertBook P1 P1403CVA-C3U08-50W (Core 3-100U/ 8GB/ 512GB/ 14"" FHD/ Win 11)",15490000,17990000,Còn hàng,Laptop Văn Phòng,"Intel Core 3 100U Processor 3.3GHz (16MB Cache, up to 4.70 GHz, 6 cores, 8 Threads)",8 GB,512 GB,Intel Graphics,IPS / FHD,,60 Hz,,ASUS,LAP-ASUS-EXPERT-P1403CVA-C3U08-50W,https://gearvn.com/products/laptop-asus-expertbook-p1403cva-c3u08-50w
"Laptop Acer Aspire Lite 15 AL15-36P-30TN (Core 3-N350/ 8GB/ 512GB/ 15.6"" FHD/ Win 11)",15990000,18690000,Còn hàng,Laptop Văn Phòng,Core 3-N350,8 GB,8GB,,15.6 inch,,,,ACER,LAP-ACER-ASPIRE-LITE-AL15-36P-30TN,https://gearvn.com/products/laptop-acer-aspire-lite-14-al15-36p-30tn
Laptop Acer Aspire Lite 15 AL15-411P-R7YP (Ryzen 3 3200U/ 8GB/ 256GB),15990000,16990000,Hết hàng,Laptop Văn Phòng,Ryzen 3 3200U,8 GB,8GB,,,,,,ACER,LAP-ACER-ASPIRE-LITE-AL15-411P-R7YP,https://gearvn.com/products/laptop-acer-aspire-lite-15-al15-411p-r7yp-ryzen-3-3200u-8gb-256gb
"Laptop Acer Aspire Lite 14 AL14-45P-R7Z3 (Ryzen 3 5400U/ 8GB/ 512GB/ 14.0"" FHD+/ Win 11)",15990000,17590000,Còn hàng,Laptop Văn Phòng,Ryzen 3 5400U,8 GB,8GB,,14.0 inch,,,,ACER,LAP-ACER-ASPIRE-LITE-AL14-45P-R7Z3,https://gearvn.com/products/laptop-acer-aspire-lite-14-al14-45p-r7z3
"Laptop gaming Acer Nitro ProPanel ANV15-42-R0QM (Ryzen 5 7640HS/ RTX 3050 6GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",27990000,34990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen™ 5 7640HS (Up to 5.0 GHz / 22MB /6 nhân, 12 luồng)",16 GB,512 GB,NVIDIA® GeForce RTX™ 3050 with 6GB of dedicated GDDR6 VRAM,15.6 inch,FHD (1920x1080),180 Hz,57 Wh 4-cell Li-ion batter;135W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-V-ANV15-42-R0QM,https://gearvn.com/products/laptop-gaming-acer-nitro-propanel-anv15-42-r0qm
Laptop gaming Acer Nitro ProPanel ANV15-41-R7CR (Ryzen 5 7535HS/ RTX 4050/ 16GB/ 512GB/ Win 11),27990000,30990000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming",AMD Ryzen 5-7535HS (6 lõi / 12 luồng / Base Clock: 3.3 GHz / Max. Boost Clock: Up to 4.55 GHz / 3MB L2 Cache; 16MB L3 Cache),16 GB,512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6,15.6 inch,Full HD (1920x1080),165 Hz,4,ACER,LAP-ACER-NITRO-V-ANV15-41-R7CR,https://gearvn.com/products/laptop-gaming-acer-nitro-v-15-propanel-anv15-41-r7cr
Laptop gaming Gigabyte A16 CMHH2VN893SH (Core i5-13420H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11),28790000,30790000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming",Intel® Core™ i5-13420H,16 GB,512 GB,NVIDIA® GeForce RTX™ 4050 Laptop GPU 6GB GDDR6,16 inch,1920 x 1200,165 Hz,4 Cell,GIGABYTE,LAP-GIGA-A16-CMHH2VN893SH,https://gearvn.com/products/laptop-gaming-gigabyte-a16-cmhh2vn893sh
"Laptop gaming Acer Aspire 7 A715-59G-79XF (Core 7-240H/ RTX 3050 6GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",28990000,33990000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core 7-240H (10 lõi / 16 luồng, 1.8 GHz - 5.2 GHz, 24 MB Intel Smart Cache)",16 GB,512 GB,NVIDIA GeForce RTX 3050 6 GB GDDR6;2560 NVIDIA CUDA Cores,15.6 inch,Full HD (1920 x 1080);Màn hình LCD TFT đèn nền LED Acer ComfyView;Góc nhìn rộng,144 Hz,54.8Wh 4-cell Li-ion battery 150W adapter,ACER,LAP-ACER-ASPIRE-7-A715-59G-79XF,https://gearvn.com/products/laptop-gaming-acer-aspire-7-a715-59g-79xf
Laptop gaming Acer Nitro ProPanel ANV15-52-73Z8 (Core 7-240H/ RTX 4050/ 16GB/ 512GB/ Win 11),33890000,40290000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel® Core™ 7 240H ( 2.5 GHz - 5.2 GHz / 24MB / 10 nhân, 16 luồng )",16 GB,512 GB,"NVIDIA® GeForce RTX™ 4050 with 6 GB of dedicated GDDR6 VRAM, supporting 2560 NVIDIA® CUDA® Cores",15.6 inch,FHD (1920x1080),180 Hz,4 cell 57 Wh,ACER,LAP-ACER-NITRO-V-ANV15-52-73Z8,https://gearvn.com/products/laptop-gaming-acer-nitro-v-15-propanel-anv15-52-73z8
"Laptop gaming Acer Nitro ProPanel ANV15-52-74UM (Core 7-240H/ RTX 3050/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",30890000,36990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core 7-240H (10 lõi / 16 luồng, tần số cơ bản 1.8 GHz, Turbo tối đa 5.2 GHz, 24 MB Smart Cache)",16 GB,512 GB,"NVIDIA GeForce RTX 3050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores",15.6 inch,Full HD (1920x1080),180 Hz,57 Wh 4-cell Li-ion batter;135W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-V-PRO-ANV15-52-74UM,https://gearvn.com/products/laptop-gaming-acer-nitro-v-propanel-anv15-52-74um
